ip_prefix,region,service,network_border_group
99.77.254.0/24,us-east-1,CHIME_VOICECONNECTOR,us-east-1
107.23.255.0/26,us-east-1,ROUTE53_HEALTHCHECKS,us-east-1
54.243.31.192/26,us-east-1,ROUTE53_HEALTHCHECKS,us-east-1
18.34.0.0/19,us-east-1,S3,us-east-1
16.15.192.0/18,us-east-1,S3,us-east-1
54.231.0.0/16,us-east-1,S3,us-east-1
52.216.0.0/15,us-east-1,S3,us-east-1
18.34.232.0/21,us-east-1,S3,us-east-1
16.15.176.0/20,us-east-1,S3,us-east-1
16.182.0.0/16,us-east-1,S3,us-east-1
3.5.0.0/19,us-east-1,S3,us-east-1
1.178.4.0/24,us-east-1,S3,us-east-1
1.178.5.0/24,us-east-1,S3,us-east-1
1.178.6.0/24,us-east-1,S3,us-east-1
3.2.64.0/24,us-east-1,S3,us-east-1
3.2.65.0/24,us-east-1,S3,us-east-1
3.2.74.0/24,us-east-1,S3,us-east-1
44.192.134.240/28,us-east-1,S3,us-east-1
44.192.140.64/28,us-east-1,S3,us-east-1
35.50.139.0/24,us-east-1,IVS_REALTIME,us-east-1
35.55.30.0/24,us-east-1,IVS_REALTIME,us-east-1
35.50.137.0/24,us-east-1,IVS_REALTIME,us-east-1
35.50.141.0/24,us-east-1,IVS_REALTIME,us-east-1
35.55.29.0/24,us-east-1,IVS_REALTIME,us-east-1
35.55.32.0/24,us-east-1,IVS_REALTIME,us-east-1
3.217.228.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
3.227.4.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
3.235.112.0/21,us-east-1,WORKSPACES_GATEWAYS,us-east-1
44.209.84.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
44.214.144.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
44.214.148.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
44.214.152.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
44.214.156.0/22,us-east-1,WORKSPACES_GATEWAYS,us-east-1
52.23.61.0/24,us-east-1,WORKSPACES_GATEWAYS,us-east-1
