timestamp,interface_id,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,action,srcaddr_tag,dstaddr_tag
2026-02-18 01:48:59.000,eni-08b5f63a506396878,10.0.1.23,10.0.4.175,443,47630,6,899,1290408,ACCEPT,VPC,VPC
2026-02-18 01:48:33.000,eni-08b5f63a506396878,52.216.60.58,10.0.1.23,443,20950,6,899,1290408,ACCEPT,S3,VPC
2026-02-18 01:41:10.000,eni-08b5f63a506396878,10.0.1.23,10.0.4.175,443,57630,6,762,1088426,ACCEPT,VPC,VPC
2026-02-18 02:26:01.000,eni-08b5f63a506396878,10.0.1.23,10.0.4.175,443,47294,6,759,1088306,ACCEPT,VPC,VPC
2026-02-18 01:44:13.000,eni-08b5f63a506396878,10.0.1.23,10.0.4.175,443,40538,6,759,1088306,ACCEPT,VPC,VPC
2026-02-18 01:43:42.000,eni-08b5f63a506396878,16.182.96.34,10.0.1.23,443,33812,6,759,1088306,ACCEPT,S3,VPC
2026-02-18 02:26:42.000,eni-08b5f63a506396878,10.0.1.23,10.0.3.102,443,33162,6,759,1088306,ACCEPT,VPC,VPC
2026-02-18 02:27:14.000,eni-08b5f63a506396878,54.231.198.154,10.0.1.23,443,38962,6,759,1088306,ACCEPT,S3,VPC
2026-02-18 02:27:59.000,eni-08b5f63a506396878,54.231.225.82,10.0.1.23,443,37799,6,759,1088306,ACCEPT,S3,VPC
2026-02-18 02:25:33.000,eni-08b5f63a506396878,52.216.208.2,10.0.1.23,443,50762,6,759,1088306,ACCEPT,S3,VPC
2026-02-18 02:28:29.000,eni-08b5f63a506396878,10.0.1.23,10.0.3.102,443,44688,6,759,1088306,ACCEPT,VPC,VPC
2026-02-18 02:20:06.000,eni-08b5f63a506396878,10.0.1.23,10.0.4.175,443,33330,6,758,1088266,ACCEPT,VPC,VPC
2026-02-18 02:30:34.000,eni-08b5f63a506396878,10.0.1.23,10.0.3.102,443,59376,6,758,1088266,ACCEPT,VPC,VPC
2026-02-18 02:29:34.000,eni-08b5f63a506396878,54.231.200.146,10.0.1.23,443,24742,6,758,1088266,ACCEPT,S3,VPC
2026-02-18 02:19:40.000,eni-08b5f63a506396878,52.217.199.82,10.0.1.23,443,21935,6,758,1088266,ACCEPT,S3,VPC
2026-02-18 02:06:31.000,eni-08b5f63a506396878,10.0.1.23,10.0.3.102,443,56292,6,757,1088226,ACCEPT,VPC,VPC
2026-02-18 02:06:00.000,eni-08b5f63a506396878,54.231.195.42,10.0.1.23,443,31907,6,757,1088226,ACCEPT,S3,VPC
2026-02-18 02:00:04.000,eni-08b5f63a506396878,52.216.219.170,10.0.1.23,443,50449,6,756,1088208,ACCEPT,S3,VPC
2026-02-18 02:00:35.000,eni-08b5f63a506396878,10.0.1.23,10.0.4.175,443,49940,6,756,1088208,ACCEPT,VPC,VPC
2026-02-18 01:55:35.000,eni-08b5f63a506396878,52.216.218.90,10.0.1.23,443,53322,6,756,1088186,ACCEPT,S3,VPC
2026-02-18 01:42:58.000,eni-08b5f63a506396878,10.0.1.23,10.0.3.102,443,55952,6,756,1088186,ACCEPT,VPC,VPC
2026-02-18 01:42:29.000,eni-08b5f63a506396878,52.216.214.106,10.0.1.23,443,35863,6,756,1088186,ACCEPT,S3,VPC
2026-02-18 01:56:35.000,eni-08b5f63a506396878,10.0.1.23,10.0.3.102,443,49420,6,756,1088186,ACCEPT,VPC,VPC
